Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
Honung och guld - Mat och dryck AB,5590670161,Oxelbärsgränd 58,165 72,Hässelby,Stockholm,0.5,2025,1,2016,,,Ny kandidat
GS Rådig AB,5591913768,Wittstocksgatan 30,115 27,Stockholm,Stockholm,0.5,2025,1,2019,,,Ny kandidat
Ekens Nova Konsult AB,5594051079,Gondolgatan 3,128 32,Skarpnäck,Stockholm,0.5,2025,0,2022,,,Ny kandidat
Carcil Aktiebolag,5562827518,Selmedalsvägen 222 a,129 41,Hägersten,Stockholm,0.5,2025,0,1986,,,Ny kandidat
VFM Konsulter AB,5593436230,Orrstigen 3,144 44,Rönninge,Salem,0.5,2025,0,2021,,,Ny kandidat
Tutela Security AB,5594961186,Höjdvägen 3 d,132 42,Saltsjö-Boo,Nacka,0.5,2025,1,2024,,,Ny kandidat
Treffenberg Consulting AB,5592802762,Götavägen 22,182 61,Djursholm,Danderyd,0.5,2025,1-4,2020,,,Ny kandidat
Tomaso Resurs AB,5590939673,Wiboms Väg 13 Lgh 1602,171 60,Solna,Solna,0.5,2025,0,2016,,,Ny kandidat
TAT Medical AB,5568454903,Ladugårdsvägen 1,187 31,Täby,Täby,0.5,2024,1,2011,,,Ny kandidat
SuMo AB,5595222513,Galgbacken 3,176 77,Järfälla,Järfälla,0.5,2025,2,2025,,,Ny kandidat
Skapa Room Socionomkonsult AB,5590917810,Gustav Iii:S Boulevard 23 Lgh 15,169 72,Solna,Solna,0.5,2025,1,2016,,,Ny kandidat
Rivkraft Sverige AB,5595199414,Fotbollsvägen 6,151 59,Södertälje,Södertälje,0.5,2025,1,2025,,,Ny kandidat
PSF i Sollentuna AB,5592340177,Sjöängsvägen 11,192 72,Sollentuna,Sollentuna,0.5,2025,1,2019,,,Ny kandidat
Moemoney AB,5594556085,Österlisa 144,761 93,Norrtälje,Norrtälje,0.5,2025,0,2023,,,Ny kandidat
MediCare Connect AB,5590942636,Sickla Industriväg 3,131 54,Nacka,Nacka,0.5,2025,1,2016,,,Ny kandidat
Lebere Services AB,5594587882,Agnevägen 6,182 61,Djursholm,Danderyd,0.5,2025,1,2023,,,Ny kandidat
Kece consulting AB,5594871518,Stensnäsvägen 21,184 63,Åkersberga,Österåker,0.5,2025,1,2024,,,Ny kandidat
Kifah Personal och Bemanning AB,5594338393,Markörgatan 10,136 44,Handen,Haninge,0.5,2024,5-9,2023,,,Ny kandidat
JSR vårdkonsult AB,5594525106,Mörtgatan 16 Lgh 1402,133 43,Saltsjöbaden,Nacka,0.5,2025,1-4,2023,,,Ny kandidat
General Top Tech AB,5590682554,Kaplanvägen 17,194 43,Upplands Väsby,Upplands Väsby,0.5,2024,0,2016,,,Ny kandidat
Fayer Event AB,5590286398,Skattbondevägen 8,194 54,Upplands Väsby,Upplands Väsby,0.5,2025,1,2015,,,Ny kandidat
Edbu AB,5595380998,Skarpbrunnavägen 201,145 67,Norsborg,Botkyrka,0.5,2025,1,2025,,,Ny kandidat
Din Kollega AB,5563116903,"c/o Anneli Wermstedt, Backluravägen 28",149 43,Nynäshamn,Nynäshamn,0.5,2025,1,1987,,,Ny kandidat
Anikina Konsult AB,5591129506,Lavendelvägen 11,135 54,Tyresö,Tyresö,0.5,2025,0,2017,,,Ny kandidat
Acctus Audentes AB,5591238497,Bergshamravägen 92,761 11,Bergshamra,Norrtälje,0.5,2025,1,2017,,,Ny kandidat
Trimming Group AB,5594050139,Hattmakaregatan 11,451 44,Uddevalla,Uddevalla,0.5,2025,1,2022,,,Ny kandidat
S-Vital AB,5590699970,Budalsvägen 119,471 95,Skärhamn,Tjörn,0.5,2025,1,2016,,,Ny kandidat
NIKPAT Förvaltning AB,5592285679,Bräckan 470,462 91,Vänersborg,Vänersborg,0.5,2025,2,2019,,,Ny kandidat
Munkedals Alltjänst AB,5594099581,Ägirvägen 38,455 30,Munkedal,Munkedal,0.5,2025,2,2022,,,Ny kandidat
MFJ Holding AB,5569427205,Sjuhäradsgatan 7,441 51,Alingsås,Alingsås,0.5,2025,1,2013,,,Ny kandidat
Liten Karin AB,5590318704,Haga Nygata 25 a,413 01,Göteborg,Göteborg,0.5,2026,1,2015,,,Ny kandidat
Jobtime Sverige AB,5592476070,Kyrkogatan 23,462 33,Vänersborg,Vänersborg,0.5,2025,0,2020,,,Ny kandidat
Jasm AB,5594885328,Östra Midvintersgatan 12,415 42,Göteborg,Göteborg,0.5,2025,1-4,2024,,,Ny kandidat
IFS Facility Services AB,5595240994,Stenkolsgatan 1 a,417 07,Göteborg,Göteborg,0.5,2025,1,2025,,,Ny kandidat
HT Läkarbemanning AB,5593061533,Eklanda Byväg 12,431 59,Mölndal,Mölndal,0.5,2025,2,2021,,,Ny kandidat
HISINGENS ALLTJÄNST AB,5592256316,Lammelyckan 11 c,418 75,Göteborg,Göteborg,0.5,2025,1,2019,,,Ny kandidat
Eftagon affärsbyrå AB,5565243606,Odinsgatan 21 Lgh 1502,411 03,Göteborg,Göteborg,0.5,2025,1,1995,,,Ny kandidat
DK Medcare AB,5595259820,Nolehultsvägen 3,417 43,Göteborg,Göteborg,0.5,2025,1,2025,,,Ny kandidat
CURA Vårdbemanning Sverige AB,5594556457,Östra Köpmansgatan 26,444 30,Stenungsund,Stenungsund,0.5,2025,1,2023,,,Ny kandidat
Arvidssons Mekaniska AB,5592972425,Hjärterövägen 8,471 33,Skärhamn,Tjörn,0.5,2025,1,2021,,,Ny kandidat
Antens Alltjänst AB,5591012439,Fläderstigen 4,544 92,Hjo,Hjo,0.5,2025,1,2017,,,Ny kandidat
"Aktiebolaget Bert, Bar & Bit",5594959990,Ebbe Lieberathsgatan 16 c,412 84,Göteborg,Göteborg,0.5,2025,1,2024,,,Ny kandidat
2R & F Ortho Medical AB,5591639330,Höjdlyckevägen 1,444 55,Stenungsund,Stenungsund,0.5,2025,2,2018,,,Ny kandidat
Viklund Bemanning AB,5593431413,Oktobervägen 2,245 64,Hjärup,Staffanstorp,0.5,2025,1,2021,,,Ny kandidat
Vexlog AB,5594392721,Porfyrgatan 12,254 68,Helsingborg,Helsingborg,0.5,2025,0,2023,,,Ny kandidat
Star Solfilm & Bildekor AB,5593519043,Stengärdesgatan 3,254 74,Ödåkra,Helsingborg,0.5,2025,1,2021,,,Ny kandidat
Rider AB,5594184599,Stridsvagnsvägen 14,291 39,Kristianstad,Kristianstad,0.5,2025,1,2023,,,Ny kandidat
PonsCare Aktiebolag,5591615207,Månvägen 20 f,291 70,Kristianstad,Kristianstad,0.5,2025,1,2018,,,Ny kandidat
OreStream AB,5568872302,Linnévägen 1 b,232 52,Åkarp,Burlöv,0.5,2025,1,2012,,,Ny kandidat
Nordisk Vårdinsats AB,5590697776,Box 192,201 21,Malmö,Malmö,0.5,2024,0,2016,,,Ny kandidat
MRC VÄST AB,5590066758,Hyllie Boulevard 2 h,216 25,Malmö,Malmö,0.5,2025,1,2015,,,Ny kandidat
Malmo Rent & Service AB,5594169665,Per Albin Hanssons Väg 16,214 32,Malmö,Malmö,0.5,2025,0,2023,,,Ny kandidat
LÖNNHÄSSLEGÅRDEN AB,5569597478,Lönnhässlevägen 181,266 91,Össjö,Ängelholm,0.5,2024,0,2014,,,Ny kandidat
Lindkvist rekryterings AB,5590175377,Östra Ljungby 4308,264 71,Östra Ljungby,Klippan,0.5,2025,1,2015,,,Ny kandidat
Hälsoevolution Sverige AB,5593672107,Släggvägen 12,232 51,Åkarp,Burlöv,0.5,2025,1,2022,,,Ny kandidat
Gigtec Syd AB,5591441042,Flöjtvägen 28,224 68,Lund,Lund,0.5,2025,1,2018,,,Ny kandidat
Falkenbergskonsulterna AB,5593098048,Kvarngårdsvägen 144,216 23,Malmö,Malmö,0.5,2025,1,2021,,,Ny kandidat
Dalagård Lantbruks AB,5594801481,Bollsbackavägen 6,276 56,Hammenhög,Simrishamn,0.5,2025,1,2024,,,Ny kandidat
D.P Lots AB,5594302035,Infanterigatan 7 d,264 51,Ljungbyhed,Klippan,0.5,2025,1,2023,,,Ny kandidat
CS Medhjälp AB,5591447403,Regementsgatan 52 a 2901,217 48,Malmö,Malmö,0.5,2025,1,2018,,,Ny kandidat
AB Rosario Equity,5592955248,Södergatan 19,211 34,Malmö,Malmö,0.5,2025,0,2021,,,Ny kandidat
Överstad Allservice AB,5590136304,Överstad Källgård 1,585 62,Linghem,Linköping,0.5,2025,1,2015,,,Ny kandidat
Östernorrgårds AB,5592793219,Ullevi Öster Norrgård,596 93,Skänninge,Mjölby,0.5,2025,1,2020,,,Ny kandidat
Urban Malm Art AB,5590352778,Eldtornsvägen 4,589 61,Sturefors,Linköping,0.5,2025,1,2015,,,Ny kandidat
HagaBuss AB,5561022319,Myrstigen 1,587 31,Linköping,Linköping,0.5,2025,1,1966,,,Ny kandidat
Björks Rent a Man AB,5566846464,Borggatan 2,596 33,Skänninge,Mjölby,0.5,2025,0,2005,,,Ny kandidat
Sylve MedKonsult AB,5593737694,Eksätravägen 55,756 55,Uppsala,Uppsala,0.5,2025,1,2022,,,Ny kandidat
Nordic Bioenergi AB,5594063629,Dimgatan 21 Lgh 1202,754 31,Uppsala,Uppsala,0.5,2025,0,2022,,,Ny kandidat
Foveam AB,5593648081,Kungsgatan 93 c,753 18,Uppsala,Uppsala,0.5,2025,1,2022,,,Ny kandidat
Bårskär Lantreprenad AB,5594123902,Härkeberga Bårskär 6,745 96,Enköping,Enköping,0.5,2025,1,2022,,,Ny kandidat
AL Montage & Alltjänst AB,5595358606,Upplanda 115,748 94,Örbyhus,Tierp,0.5,2025,4,2025,,,Ny kandidat
Egons Bil & Mek AB,5594339136,Nissanvägen 7,562 40,Taberg,Jönköping,0.5,2025,1,2023,,,Ny kandidat
Örfelths ELT AB,5595429092,Torggatan 28 a,578 32,Aneby,Aneby,0.5,2025,1-4,2025,,,Ny kandidat
RxPharma AB,5594462201,Hagagatan 1 a,566 32,Habo,Habo,0.5,2025,0,2023,,,Ny kandidat
Rapallo AB,5592468002,Skärvövägen 1,571 73,Stensjön,Nässjö,0.5,2025,0,2020,,,Ny kandidat
Mätteknik i Bredaryd AB,5593837296,Havrida Skattegård 2,333 74,Bredaryd,Värnamo,0.5,2025,1,2022,,,Ny kandidat
Konbema AB,5591326300,Lyckebovägen 9,566 91,Habo,Habo,0.5,2025,1,2017,,,Ny kandidat
JOBA AB,5591162051,Bondstorp Någorlunda 4,562 91,Månsarp,Vaggeryd,0.5,2025,0,2017,,,Ny kandidat
Franca Bemanning AB,5592209356,Gjuterigatan 8,575 36,Eksjö,Eksjö,0.5,2023,0,2019,,,Ny kandidat
Bors schakt och handel AB,5561898080,Vikavägen 9,331 73,Bor,Värnamo,0.5,2025,0,1975,,,Ny kandidat
Torell & Frisk Healthcare AB,5566883327,Östra Kyviksvägen 28,429 30,Kullavik,Kungsbacka,0.5,2025,1,2005,,,Ny kandidat
Hjärtared 1 AB,5569428500,Hjärtared 205,311 62,Ullared,Falkenberg,0.5,2024,0,2013,,,Ny kandidat
Bud Och Bemanning I Örebro AB,5594428657,Fodervägen 1,703 75,Örebro,Örebro,0.5,2024,1,2023,,,Ny kandidat
ST Personal & Administration AB,5568538929,Sofiavägen 5,691 54,Karlskoga,Karlskoga,0.5,2025,0,2011,,,Ny kandidat
Racham AB,5594753369,Timotejgatan 11,692 71,Kumla,Kumla,0.5,2025,1-4,2024,,,Ny kandidat
H95 Entreprenad AB,5590185731,Inspelsgatan 34,719 93,Vintrosa,Lekeberg,0.5,2025,1,2015,,,Ny kandidat
KGA Industrisupport AB,5591549653,Äspenäs 501,691 93,Karlskoga,Karlskoga,0.5,2025,1,2018,,,Ny kandidat
Bonnatösens Mackor AB,5594932344,Prästgatan 27,713 31,Nora,Nora,0.5,2025,0,2024,,,Ny kandidat
Nyströms Chaufförstjänst AB,5594468943,Björkövägen 14,641 61,Valla,Katrineholm,0.5,2025,1,2023,,,Ny kandidat
Yggip Holding AB,5593537417,Vallhedsgatan 13,784 72,Borlänge,Borlänge,0.5,2024,1,2021,,,Ny kandidat
MJH Service AB,5592768161,Strandellvägen 36,794 34,Orsa,Orsa,0.5,2025,1,2020,,,Ny kandidat
J Belin Invest AB,5590117239,Järngatan 2,774 30,Avesta,Avesta,0.5,2025,1,2015,,,Ny kandidat
GOS Industries AB,5593310443,Vallmansgatan 6,791 31,Falun,Falun,0.5,2025,1,2021,,,Ny kandidat
Diceart AB,5594242785,Grönlandsvägen 9,782 31,Malung,Malung-Sälen,0.5,2025,1,2023,,,Ny kandidat
Dala Kompetens AB,5590763701,Åhmans Väg 16,777 51,Smedjebacken,Smedjebacken,0.5,2025,1,2016,,,Ny kandidat
Aktiebolaget ZEUS & PRIAPUS,5593074437,Hansesgattu 23,785 60,Djurås,Gagnef,0.5,2025,0,2021,,,Ny kandidat
98 Bemanning AB,5594193871,Folkaregatan 42,775 70,Krylbo,Avesta,0.5,2025,0,2023,,,Ny kandidat
Viks Garageservice AB,5591004295,Vik 112,824 91,Hudiksvall,Hudiksvall,0.5,2025,1,2017,,,Ny kandidat
R Ivarsson Invest AB,5592525686,Nyrénsvägen 12,828 30,Edsbyn,Ovanåker,0.5,2025,1,2020,,,Ny kandidat
DS Invest Group Bemanning AB,5594400789,Bråtvägen 63,667 31,Forshaga,Forshaga,0.5,2025,4,2023,,,Ny kandidat
WILBUR Invest AB,5567429880,Bergsvägen 3,735 33,Surahammar,Surahammar,0.5,2024,0,2007,,,Ny kandidat
Medicus PersonalPool AB,5590998562,Västermovägen 12 b Lgh 1202,732 49,Arboga,Arboga,0.5,2025,1-4,2017,,,Ny kandidat
Davids Maskin och Transport AB,5595003376,Kapellgatan 4 c,735 31,Surahammar,Surahammar,0.5,2025,1,2024,,,Ny kandidat
A-A Bemanning i Västerås AB,5592657562,Friledningsgatan 10,721 27,Västerås,Västerås,0.5,2025,0,2020,,,Ny kandidat
VR Plusredovisning i Norrbotten AB,5592442809,Hyggesvägen 6,955 32,Råneå,Luleå,0.5,2025,2,2020,,,Ny kandidat
Solution Models House Group AB,5569793994,Kronvägen 16,957 31,Övertorneå,Övertorneå,0.5,2025,0,2014,,,Ny kandidat
Pelle's Garage & Maskin AB,5592518715,Lärarvägen 8,955 31,Råneå,Luleå,0.5,2025,1,2020,,,Ny kandidat
PELINDA AB,5590880851,Röddingsvägen 49,944 94,Jävrebyn,Piteå,0.5,2025,0,2016,,,Ny kandidat
Norrabyns Mekteknik AB,5594469164,Åkerstigen 5,942 34,Älvsbyn,Älvsbyn,0.5,2025,1-4,2023,,,Ny kandidat
Mfem AB,5595282863,Omvägen 13,953 33,Haparanda,Haparanda,0.5,2025,1,2025,,,Ny kandidat
Lillvargen AB,5590917364,Fänriksgatan 19 a,941 43,Piteå,Piteå,0.5,2025,0,2016,,,Ny kandidat
Hssons Mek och Svets AB,5594002726,Alggränd 2 a,982 37,Gällivare,Gällivare,0.5,2025,1,2022,,,Ny kandidat
FMF Fredrikssons Mark & Förartjänst AB,5592204878,Hällan 28,942 92,Älvsbyn,Älvsbyn,0.5,2025,1,2019,,,Ny kandidat
Viktors Maskintjänst AB,5595275354,Myntgatan 5 k,931 48,Skellefteå,Skellefteå,0.5,2025,1,2025,,,Ny kandidat
Suorssá Sense AB,5590611579,Östanåvägen 16,924 31,Sorsele,Sorsele,0.5,2025,1,2016,,,Ny kandidat
Norberg & Söner AB,5569973281,Blå Vägen 63,923 41,Stensele,Storuman,0.5,2025,1,2014,,,Ny kandidat
Lotta Consulting AB,5592229982,Öbackavägen 3,903 33,Umeå,Umeå,0.5,2025,1,2019,,,Ny kandidat
Jungehalls fix AB,5569929283,Västerviksvägen 11,923 42,Gunnarn,Storuman,0.5,2025,1,2014,,,Ny kandidat
KAS Resurs AB,5594655234,Ringvägen 21,923 42,Gunnarn,Storuman,0.5,2025,1,2023,,,Ny kandidat
JH Mek & Maskin AB,5593158891,Sarsjöliden 40,922 93,Vindeln,Vindeln,0.5,2025,1,2021,,,Ny kandidat
VGI AB,5592715873,Snickarvägen 6,387 92,Borgholm,Borgholm,0.5,2025,1,2020,,,Ny kandidat
Medigitus AB,5591238489,Råamåla 104,361 95,Långasjö,Emmaboda,0.5,2025,1,2017,,,Ny kandidat
InaCus AB,5594981465,Strandlinjen 15,593 44,Västervik,Västervik,0.5,2025,1,2024,,,Ny kandidat
Löwenthal Holding AB,5567720171,Skidsvängen 108,352 49,Växjö,Växjö,0.5,2025,1,2008,,,Ny kandidat
SUPERNIO AB,5593507642,Lärarvägen 3,895 30,Bredbyn,Örnsköldsvik,0.5,2024,0,2021,,,Ny kandidat
Hälsan i fokus Sölvesborg AB,5594253212,Valjeallén 2,294 77,Sölvesborg,Sölvesborg,0.5,2025,1,2023,,,Ny kandidat
GoCrew Service AB,5594300468,Brostugevägen 3,293 42,Olofström,Olofström,0.5,2025,0,2023,,,Ny kandidat
Örjan Bergander AB,5594181777,Köpmangatan 43,831 30,Östersund,Östersund,0.5,2025,1,2023,,,Ny kandidat
Sjukgymnastiken ANWI Aktiebolag,5562926443,Skärvången 251,835 63,Föllinge,Krokom,0.5,2025,1,1987,,,Ny kandidat
Patrongården i Värmon AB,5564180320,Värmon 314,835 39,Nälden,Krokom,0.5,2024,1,1991,,,Ny kandidat
DEKÅ AB,5591480719,Sandnäset 741,845 61,Svenstavik,Berg,0.5,2025,1,2018,,,Ny kandidat
hzor AB,5595080747,Vårväderstorget 4,418 31,Göteborg,Göteborg,0.4,2025,1-4,2024,,,Ny kandidat
Widely AB,5595066837,Styrmansgatan 18,114 54,Stockholm,Stockholm,0.4,2025,1,2024,,,Ny kandidat
We Agree AB,5590322847,Box 504,136 25,Haninge,Haninge,0.4,2025,1,2015,,,Ny kandidat
Thurneco AB,5594228255,Drottningholmsvägen 8,112 42,Stockholm,Stockholm,0.4,2025,1,2023,,,Ny kandidat
The Tomorrow Job AB,5593061491,Västra Rönneholmsvägen 72 Lgh 1002,217 41,Malmö,Malmö,0.4,2025,0,2021,,,Ny kandidat
The Hub AB,5594416520,Lillhagens Sandlycka 4 a,422 56,Hisings Backa,Göteborg,0.4,2025,1,2023,,,Ny kandidat
TakeReference AB,5569072001,Kungsgatan 9,111 43,Stockholm,Stockholm,0.4,2024,1,2012,,,Ny kandidat
TREAT TALENT AB,5592898836,Schlytersvägen 43,126 50,Hägersten,Stockholm,0.4,2025,1,2020,,,Ny kandidat
SwipeEazy AB,5593540163,Vasagatan 54,400 16,Göteborg,Göteborg,0.4,2025,3,2021,,,Ny kandidat
Svewi Invest AB,5594740184,"c/o Citadellet Likvidationer AB (16060), Strandgatan 7",185 32,Vaxholm,Vaxholm,0.4,2025,1,2024,,,Ny kandidat
Svea Arbetskraft AB,5592789068,Sollentunavägen 67 a,191 40,Sollentuna,Sollentuna,0.4,2025,2,2020,,,Ny kandidat
Sveamarket AB,5591831887,Viggengatan 5,177 55,Järfälla,Järfälla,0.4,2025,1,2018,,,Ny kandidat
Susanne Waering Consulting AB,5594735846,Källängsvägen 8,181 48,Lidingö,Lidingö,0.4,2025,1,2024,,,Ny kandidat
Stockholm RS AB,5569685661,Karlavägen 53 Box 10076,115 26,Stockholm,Stockholm,0.4,2025,2,2014,,,Ny kandidat
Stockholm HLR och Hälsa AB,5591676316,Hökens Gata 1,116 46,Stockholm,Stockholm,0.4,2025,1,2018,,,Ny kandidat
Stabbe & Hogge casting AB,5590355250,Bondegatan 34,116 32,Stockholm,Stockholm,0.4,2025,2,2015,,,Ny kandidat
Sami Care AB,5569105405,Stormbyvägen 2,163 55,Spånga,Stockholm,0.4,2024,0,2012,,,Ny kandidat
Sajna i Norrtelje AB,5569243339,Stora Brogatan 8,761 30,Norrtälje,Norrtälje,0.4,2025,1,2013,,,Ny kandidat
RustaMatcha Sverige AB,5594462359,Vasagatan 20 a,722 15,Västerås,Västerås,0.4,2025,1-4,2023,,,Ny kandidat
Rumber AB,5593630691,Västansjö 32,781 91,Borlänge,Borlänge,0.4,2025,0,2022,,,Ny kandidat
Restauteket Bemanning och Catering AB,5593855926,Storholmsbackarna 74,127 43,Skärholmen,Stockholm,0.4,2024,0,2022,,,Ny kandidat
ResourceWell AB,5567688931,Magnus Ladulåsgatan 29 Lgh 1404,118 65,Stockholm,Stockholm,0.4,2025,1,2008,,,Ny kandidat
Produktivitetsinstitutet AB,5594148727,Vallmogatan 17,233 37,Svedala,Svedala,0.4,2025,1,2022,,,Ny kandidat
PrimeKeep AB,5595260851,Industrivägen 19,171 48,Solna,Solna,0.4,2025,1,2025,,,Ny kandidat
Plain Consulting AB,5566002001,Buddes Gränd 4,131 60,Nacka,Nacka,0.4,2025,1,2000,,,Ny kandidat
Personalstruktur i Stockholm AB,5564839966,Augustendalsvägen 7,131 52,Nacka Strand,Nacka,0.4,2025,1,1994,,,Ny kandidat
Part Venue AB,5593559072,Malmövägen 38,239 34,Skanör,Vellinge,0.4,2025,1,2021,,,Ny kandidat
Orivo AB,5594620725,Jenny Linds Gata 15,129 52,Hägersten,Stockholm,0.4,2025,0,2023,,,Ny kandidat
NextWork Sweden AB,5594868993,Odalvägen 5,302 51,Halmstad,Halmstad,0.4,2025,1,2024,,,Ny kandidat
Multitude Search i Stockholm AB,5566495049,Regeringsgatan 66 2tr,111 39,Stockholm,Stockholm,0.4,2025,1,2003,,,Ny kandidat
Movement Research & Consulting Nordic Select AB,5566959168,Sveavägen 17 13tr,111 57,Stockholm,Stockholm,0.4,2025,1,2006,,,Ny kandidat
Mobily Sverige AB,5591827752,Turevägen 2,191 47,Sollentuna,Sollentuna,0.4,2024,1,2018,,,Ny kandidat
Memory Makers AB,5593903676,Kilgränd 1,743 61,Björklinge,Uppsala,0.4,2025,0,2022,,,Ny kandidat
MRC Bemanning AB,5593762742,Vasagatan 12,111 20,Stockholm,Stockholm,0.4,2025,0,2022,,,Ny kandidat
Lokalvärd AB,5591808109,Sjöhällsstigen 26,165 71,Hässelby,Stockholm,0.4,2024,0,2018,,,Ny kandidat
KompetensKompassen AB,5592399934,Ålgrytevägen 196,127 30,Skärholmen,Stockholm,0.4,2025,1,2020,,,Ny kandidat
Kevins Allround Bemanning Aktiebolag,5568253784,Hägerstensvägen 235 d Lgh:1001,129 35,Hägersten,Stockholm,0.4,2025,2,2010,,,Ny kandidat
KarriärKoppling AB,5595151597,Drottninggatan 13,602 24,Norrköping,Norrköping,0.4,2025,1-4,2025,,,Ny kandidat
Karriär&Matchning 24 AB,5594945452,Rinkebytorget 8,163 73,Spånga,Stockholm,0.4,2025,1-4,2024,,,Ny kandidat
HCS Music Productions AB,5566437991,Birger Jarlsgatan 2 2,114 34,Stockholm,Stockholm,0.4,2025,0,2003,,,Ny kandidat
Gottfridsson Design AB,5591289680,Tappers Väg 37,234 34,Lomma,Lomma,0.4,2025,1,2017,,,Ny kandidat
GV Stars Bemanning Vänersborg AB,5593789158,Vassbottengatan 14,462 38,Vänersborg,Vänersborg,0.4,2025,1,2022,,,Ny kandidat
Förartjänst Jobbförmedling Sverige AB,5592552680,Torggatan 6,282 31,Tyringe,Hässleholm,0.4,2025,0,2020,,,Ny kandidat
Exptners AB,5594309501,Quick Office Köpsvängen 10,168 67,Bromma,Stockholm,0.4,2025,1,2023,,,Ny kandidat
Ermell HR Consulting AB,5593573255,Vikingagatan 1,113 42,Stockholm,Stockholm,0.4,2025,1,2021,,,Ny kandidat
Emil-Henrik Invest och Konsulting AB,5568309701,Frodevägen 2,133 38,Saltsjöbaden,Nacka,0.4,2025,1,2010,,,Ny kandidat
Eisum AB,5595356386,Regeringsgatan 65,111 56,Stockholm,Stockholm,0.4,2025,1,2025,,,Ny kandidat
EkonoMente Solutions AB,5594497793,"c/o Advokatfirman Fylgia KB, Box 55555",102 04,Stockholm,Stockholm,0.4,2024,1,2023,,,Ny kandidat
Diplomatic Consulting HEB AB,5568116650,Östersjögatan 2 b,252 71,Råå,Helsingborg,0.4,2025,1,2010,,,Ny kandidat
Cool Staffing Sweden AB,5591753040,Vårdkaseberg 44,434 98,Kungsbacka,Kungsbacka,0.4,2025,1,2018,,,Ny kandidat
Complete Partner Norrköping AB,5561167585,Videvägen 11,602 13,Norrköping,Norrköping,0.4,2025,1,1968,,,Ny kandidat
Chocron Interim AB,5594734948,Eklandagatan 9,412 55,Göteborg,Göteborg,0.4,2025,1,2024,,,Ny kandidat
Chance2Work Sweden AB,5594176389,Box 63,291 21,Kristianstad,Kristianstad,0.4,2024,1,2023,,,Ny kandidat
CERAMO AB,5591315824,Näsbydalsvägen 13 1 Tr,183 31,Täby,Täby,0.4,2025,1,2017,,,Ny kandidat
CAREer Katie Pettersson Consulting AB,5592141773,Erik Rödes Gata 7,253 62,Helsingborg,Helsingborg,0.4,2025,1,2019,,,Ny kandidat
CAL Consulting AB,5590059068,Brigadörsvägen 11 a,187 63,Täby,Täby,0.4,2025,1,2015,,,Ny kandidat
Bridge Four AB,5594551540,Bondegatan 58,116 33,Stockholm,Stockholm,0.4,2025,1,2023,,,Ny kandidat
Bitar Invest & Consulting AB,5592210925,Stigbygeln 1,148 92,Ösmo,Nynäshamn,0.4,2025,1,2019,,,Ny kandidat
Bitar & Wallin AB,5593659666,Stigbygeln 1,148 92,Ösmo,Nynäshamn,0.4,2024,1,2022,,,Ny kandidat
Berini invest AB,5568056724,Grimvägen 1,182 68,Djursholm,Danderyd,0.4,2024,0,2010,,,Ny kandidat
BRO Matchning och Utbildning AB,5594464264,Åvägen 24,412 51,Göteborg,Göteborg,0.4,2025,0,2023,,,Ny kandidat
Axtorps Fastighets service AB,5592402175,Axtorp Sörgården 1,543 92,Tibro,Tibro,0.4,2024,1,2020,,,Ny kandidat
Aviators Recruitment Scandinavia AB,5593651424,Älta Strandväg 54,138 33,Älta,Nacka,0.4,2025,1,2022,,,Ny kandidat
Assume work AB,5593601213,Molkomsbacken 19 Co Homidova,123 33,Farsta,Stockholm,0.4,2024,0,2022,,,Ny kandidat
Arbetsmäklarna Sverige AB,5590106950,Segelbacken 4,134 32,Gustavsberg,Värmdö,0.4,2025,0,2015,,,Ny kandidat
ArbetsAnpass AB,5594691635,Tegelbruksgatan 4 b Lgh 1401,262 36,Ängelholm,Ängelholm,0.4,2024,1-4,2024,,,Ny kandidat
Alpaca Talent Management AB,5595361808,Drömstigen 6,181 65,Lidingö,Lidingö,0.4,2025,2,2025,,,Ny kandidat
Abra AB,5594360819,Fallhammargatan 3 a,721 33,Västerås,Västerås,0.4,2025,5-9,2023,,,Ny kandidat
Tony Stuhr AB,5592313711,Hässleholmsvägen 8,121 53,Johanneshov,Stockholm,0.4,2025,0,2019,,,Ny kandidat
Stureplansgruppen Property AB,5567674766,Box 55719,114 83,Stockholm,Stockholm,0.4,2025,0,2008,,,Ny kandidat
StationVilla AB,5593887358,"c/o Elvar Nurgaleev, Box 2502",116 74,Stockholm,Stockholm,0.4,2023,0,2022,,,Ny kandidat
Sjöstan Kök & Städ AB,5594847252,Hammarby Allé 132 Lgh 1402,120 66,Stockholm,Stockholm,0.4,2024,3,2024,,,Ny kandidat
Rahma AB,5593304586,Oslogatan 10,164 32,Kista,Stockholm,0.4,2025,1,2021,,,Ny kandidat
Prope Medic AB,5591746366,Linnégatan 39 a,114 47,Stockholm,Stockholm,0.4,2025,1,2018,,,Ny kandidat
NordicGo AB,5592460082,Kista Science Tower Färögatan 33,164 51,Kista,Stockholm,0.4,2025,0,2020,,,Ny kandidat
Mirka Vårdsupport AB,5569972432,Lillängsgatan 23,168 58,Bromma,Stockholm,0.4,2025,1,2014,,,Ny kandidat
Mayliev AB,5593859191,Dartanjangs Gata 48,168 71,Bromma,Stockholm,0.4,2025,1,2022,,,Ny kandidat
